Sensory ^jj+atrb+++=SENSORY
is ^vbz+bez+vrb++=is
beneficial ^jj+pred+++=beneficial
both ^abx++++=both
to ^in++++=to
the ^ati++++=the
males ^nns++++=males
( ^zz++++=(wasting
wasting ^vbg+++xvbg+=EXTRAWORD
' ^zz++++='unheard'
unheard ^jj++++=EXTRAWORD
' ^zz++++=EXTRAWORD
calls ^vbz++++=calls)
) ^zz++++=EXTRAWORD
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
females ^nns++++=females
( ^zz++++=(reducing
reducing ^vbg+++xvbg+=EXTRAWORD
search ^nn++++=search
costs ^nns++++=costs
for ^in++++=for
potential ^jj+atrb+++=potential
mates ^nns++++=mates).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Under ^in++++=Under
allopatry ^nn++++=allopatry,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
how ^wrb+who+whcl++=how
these ^dt+dem+++=these
signalling ^jj+atrb++xvbg+=signalling
constraints ^nns+++??+=constraints
could ^md+pos+++=could
changes ^vb++++=changes
in ^in++++=in
response ^nn++++=response
to ^in++++=to
habitat ^nn++++=habitat
and ^cc++++=and
cause ^nn++++=cause
divergence ^nn+nom+++=divergence.
. ^zz++++=EXTRAWORD
Boughman ^np+nom++??+=Boughman
describes ^vbz++++=describes
several ^ap++++=several
examples ^nns++++=examples
of ^in++++=of
such ^abl++++=such
changes ^nns++++=changes
in ^in++++=in
habitat ^nn++++=habitat
producing ^vwbg+++xvbg+=producing
divergent ^jj+atrb+++=divergent
sensory ^jj+atrb+++=sensory
adaptations ^nns+nom+++=adaptations
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
colour ^nn++++=colour
sensitivity ^nn+nom+++=sensitivity
in ^in++++=in
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
observes ^vbz+vprv+++=observes
that ^tht+vcmp+++=that
several ^ap++++=several
inland ^jjb+atrb+++=inland
varieties ^nns++++=varieties
of ^in++++=of
snapper ^jjr++++=snapper
( ^zz++++=(Lutjanidae
lutjanidae ^nn+++??+=EXTRAWORD
family ^nn++++=family)
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
spectral ^jj++++=spectral
shifts ^vbz++++=shifts
towards ^in++++=towards
green ^nn++++=green
enhancing ^vwbg+++xvbg+=enhancing
their ^pp$+pp3+++=their
perception ^nn+nom+++=perception
in ^in++++=in
the ^ati++++=the
yellow ^jj++++=yellow-green
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
waters ^nns++++=waters
of ^in++++=of
their ^pp$+pp3+++=their
habitat ^nn++++=habitat
while ^cs+sub+++=while
their ^pp$+pp3+++=their
reef ^nn++++=reef
dwelling ^vwbg+++xvbg+=dwelling
cousins ^nns++++=cousins
have ^vb+hv+aux++=have
spectral ^jj++++=spectral
shifts ^vbz++++=shifts
towards ^in++++=towards
blue ^nn++++=blue,
, ^zz++++=EXTRAWORD
best ^jjt++++=best
for ^in++++=for
their ^pp$+pp3+++=their
less ^rbr++++=less
turbid ^jj+atrb+++=turbid
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
then ^rn+tm+++=then
follows ^vbz+vprv+++=follows
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
colouration ^nn+nom+++=colouration
were ^vbd+bed+vrb++=were
important ^jj+pred+++=important
for ^in++++=for
mate ^nn++++=mate
choice ^nn++++=choice
in ^in++++=in
this ^dt+dem+++=this
family ^nn++++=family,
, ^zz++++=EXTRAWORD
sexual ^jj+atrb+++=sexual
selection ^nn+nom+++=selection
would ^md+prd+++=would
produce ^vb++++=produce
male ^jj+atrb+++=male
colourings ^nns+++??+=colourings
best ^jjt++++=best
for ^in++++=for
the ^ati++++=the
snapper ^jjr+atrb+++=snapper's
's ^vbz+bez+vrb++0=EXTRAWORD
environment ^nn+nom+++=environment
and ^cc++++=and
most ^ql+emph+++=most
easily ^rb++++=easily
matched ^vbd+++xvbn+=matched
to ^in++++=to
females ^nns++++=females'
' ^zz++++=EXTRAWORD
sensory ^jj+atrb+++=sensory
ranges ^nns++++=ranges.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
a ^at++++=a
system ^nn++++=system
could ^md+pos+++=could
drive ^vb++++=drive
divergence ^nn+nom+++=divergence
of ^in++++=of
shore ^nn++++=shore
populations ^nns+nom+++=populations
and ^cc++++=and
reef ^nn++++=reef
populations ^nns+nom+++=populations
in ^in++++=in
both ^abx++++=both
female ^jj+atrb+++=female
preference ^nn+nom+++=preference
and ^cc++++=and
male ^nn++++=male
signalling ^vwbg+++xvbg+=signalling
modes ^nns++++=modes.
. ^zz++++=EXTRAWORD
Consequentially ^np+++??+=Consequentially,
, ^zz++++=EXTRAWORD
Boughman ^np+nom++??+=Boughman
suggests ^vbz+vpub+tht0++=suggests
these ^dt+dem+++=these
changing ^jj+atrb++xvbg+=changing
systems ^nns++++=systems
could ^md+pos+++=could
then ^rn+tm+splt++=then
promote ^vb++++=promote
speciation ^nn+nom+++=speciation
via ^in++++=via
assortative ^jj+atrb+++=assortative
mating ^nn++++=mating.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
verbally ^rb++++=verbally
describes ^vbz++++=describes
a ^at++++=a
modal ^nn++++=modal
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
under ^in++++=under
allopatry ^nn++++=allopatry,
, ^zz++++=EXTRAWORD
sensory ^jj+atrb+++=sensory
drive ^nn++++=drive
produces ^vbz++++=produces
enough ^qlp++++=enough
changes ^nns++++=changes
in ^in++++=in
the ^ati++++=the
two ^cd++++=two
populations ^nns+nom+++=populations
to ^to++++=to
prevent ^vbi++++=prevent
heterospecific ^jj+atrb+++=heterospecific
mate ^nn++++=mate
recognition ^nn+nom+++=recognition
should ^md+nec+++=should
sympatry ^vb++++=sympatry
reoccur ^nn+++??+=reoccur.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
changes ^nns++++=changes
could ^md+pos+++=could
both ^abx++++=both
strengthen ^vb++++=strengthen
other ^ap++++=other
reproductive ^jj+atrb+++=reproductive
barriers ^nns+nom+++=barriers
and ^cc++++=and/or
act ^nn++++=act
as ^ql++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
barrier ^nn++++=barrier
to ^in++++=to
heterospecific ^jj+atrb+++=heterospecific
mating ^nn++++=mating.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
observes ^vbz+vprv+++=observes
that ^tht+vcmp+++=that
species ^nn++++=species-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
microhabitat ^nn+++??+=microhabitat
assortment ^nn+nom+++=assortment
during ^in++++=during
mating ^nn++++=mating
would ^md+prd+++=would
also ^rb++splt++=also
enforce ^vb++++=enforce
species ^nn++++=species
boundaries ^nns++++=boundaries.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
microhabitat ^nn+++??+=microhabitat
assortment ^nn+nom+++=assortment
could ^md+pos+++=could
be ^vb+be+vrb++=be
a ^at++++=a
by ^in++++=by-product
- ^zz++++=EXTRAWORD
product ^nn++++=EXTRAWORD
of ^in++++=of
sensory ^jj+atrb+++=sensory
system ^nn++++=system
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
related ^vbd+++xvbn+=related
to ^in++++=to
niche ^nn++++=niche
specific ^jj+atrb+++=specific
adaptations ^nns+nom+++=adaptations
or ^cc++++=or
constraints ^nns+++??+=constraints,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
related ^vbd+++xvbn+=related
to ^in++++=to
predatory ^jj+atrb+++=predatory
pressures ^nns++++=pressures.
. ^zz++++=EXTRAWORD
As ^ql++++=As
always ^rb+cnj+++=always,
, ^zz++++=EXTRAWORD
Boughman ^np+nom++??+=Boughman
