Host ^nn++++=HOST-PARASITE
. ^zz++++=EXTRAWORD
, ^zz++++=,
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Beltman ^np+++??+=Beltman
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
herein ^rb++++=herein
follows ^vbz+vprv+++=follows
is ^vbz+bez+vrb++=is
a ^at++++=a
review ^nn++++=review
of ^in++++=of
this ^dt+dem+++=this
system ^nn++++=system
and ^cc++++=and
its ^pp$+it+++=its
implications ^nns+nom+++=implications;
; ^zz++++=EXTRAWORD
the ^ati++++=the
work ^nn++++=work,
, ^zz++++=EXTRAWORD
done ^xvbn+++xvbn+=done
mostly ^rb++++=mostly
by ^in++++=by
University ^nn+nom+++=University
of ^in++++=of
Michigan ^np+nom+++=Michigan
resident ^nn++++=resident
Robert ^np++++=Robert
Payne ^np++++=Payne
and ^cc++++=and
Michael ^np++++=Michael
Sorenson ^np+++??+=Sorenson
of ^in++++=of
Boston ^np++++=Boston
University ^nn+nom+++=University,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
upon ^in++++=upon
the ^ati++++=the
many ^ap++++=many
subspecies ^nns+++??+=subspecies
and ^cc++++=and
sister ^nn++++=sister
species ^nns++++=species
of ^in++++=of
the ^ati++++=the
African ^jj+atrb+++=African
indigobirds ^nns+++??+=indigobirds,
, ^zz++++=EXTRAWORD
Vidua ^np+++??+=Vidua
spp ^nn+++??+=spp.
. ^zz++++=EXTRAWORD
( ^zz++++=(Sorenson
sorenson ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Historical ^jj+atrb+++=Historical
geographic ^nn++++=geographic
and ^cc++++=and
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence
along ^in++++=along
with ^in"++++=with
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
song ^nn++++=song
learning ^vwbg+vprv++xvbg+=learning
all ^abn++++=all
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
support ^vbi++++=support
rapid ^jj+atrb+++=rapid
speciation ^nn+nom+++=speciation
in ^in++++=in
this ^dt+pdem+++=this
genus ^vbz+++??+=genus,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
likely ^jj++++=likely
under ^in++++=under
sympatric ^jj+atrb+++=sympatric
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Specifications ^nns+nom+++=Specifications
of ^in++++=of
the ^ati++++=the
System ^nn++++=System
and ^cc++++=and
the ^ati++++=the
Implications ^nns+nom+++=Implications
of ^in++++=of
Learning ^xvbg+++xvbg+=Learning:
: ^zz++++=EXTRAWORD
The ^ati++++=The
brood ^nn++++=brood
parasitic ^jj+atrb+++=parasitic
indigobirds ^nns+++??+=indigobirds
rely ^vb++++=rely
on ^in++++=on
a ^at++++=a
novel ^nn++++=novel
method ^nn++++=method
to ^to++++=to
choose ^vbi++++=choose
their ^pp$+pp3+++=their
parasitized ^jj+atrb++xvbn+=parasitized
host ^nn++++=host:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
learn ^vb+vprv+tht0++=learn
their ^pp$+pp3+++=their
song ^nn++++=song.
. ^zz++++=EXTRAWORD
Payne ^np++++=Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2004)
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
describes ^vbz++++=describes
this ^dt+dem+++=this
system ^nn++++=system
in ^in++++=in
some ^dti++++=some
detail ^nn++++=detail
and ^cc++++=and
supports ^nns++++=supports
it ^pp3+it+++=it
with ^in++++=with
cross ^jj++++=cross-foster
- ^zz++++=EXTRAWORD
foster ^jjb+atrb+++=EXTRAWORD
experiments ^nns+nom+++=experiments
( ^zz++++=(Payne
payne ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
1998 ^cd+date+++=1998,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
simplistic ^jj+atrb+++=simplistic
description ^nn+nom+++=description
of ^in++++=of
this ^dt+dem+++=this
host ^nn++++=host-parasite
- ^zz++++=EXTRAWORD
parasite ^nn++++=EXTRAWORD
relationship ^nn+nom+++=relationship
is ^vbz+bez+aux++=is
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
adult ^nn++++=adult
females ^nns++++=females
of ^in++++=of
Vidua ^np+++??+=Vidua
lay ^vbd+++xvbn+=lay
their ^pp$+pp3+++=their
eggs ^nns++++=eggs
in ^in++++=in
the ^ati++++=the
nests ^nns++++=nests
of ^in++++=of
several ^ap++++=several
other ^ap++++=other
finch ^np++++=finch
species ^nn++++=species
in ^in++++=in
West ^np+pl+++=West
and ^cc++++=and
Central ^jj+atrb+++=Central
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
choose ^vb++++=choose
which ^whp+who+++=which
species ^nn++++=species
to ^to++++=to
parasitize ^vbi++++=parasitize
based ^xvbn+++xvbn+=based
upon ^in++++=upon
the ^ati++++=the
male ^jj+atrb+++=male
calls ^nns++++=calls
of ^in++++=of
that ^dt+pdem+++=that
