Host ^nn++++=HOST-PARASITE
establish ^vb+vprv+++=establish
the ^ati++++=the
evidence ^nn+nom+++=evidence
for ^in++++=for
sympatric ^jj+atrb+++=sympatric
divergence ^nn+nom+++=divergence
we ^pp1a+pp1+++=we
will ^md+prd+++=will
explore ^vb++++=explore
the ^ati++++=the
work ^nn++++=work
done ^vwbn+++xvbn+=done
by ^in++++=by
Payne ^np++++=Payne,
, ^zz++++=EXTRAWORD
Sorenson ^np+++??+=Sorenson,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
colleagues ^nns++++=colleagues
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
eight ^cd++++=eight
criteria ^nns++++=criteria
set ^vbd+++xvbn+=set
down ^rb+phrv+++=down
by ^in++++=by
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr
( ^zz++++=(please
please ^uh++++=EXTRAWORD
see ^vb+vprv+++=see
appendix ^nn++++=appendix,
, ^zz++++=EXTRAWORD
table ^nn++++=table
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
discussion ^nn++++=discussion
will ^md+prd+++=will
mirror ^vb++++=mirror
the ^ati++++=the
structure ^nn++++=structure
of ^in++++=of
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr,
, ^zz++++=EXTRAWORD
thereby ^rb+cnj+++=thereby,
, ^zz++++=EXTRAWORD
substantiating ^jj+++xvbg+=substantiating
the ^ati++++=the
presumed ^jj+atrb++xvbn+=presumed
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation
of ^in++++=of
the ^ati++++=the
indigobirds ^nns+++??+=indigobirds.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
criterion ^np++++=criterion
is ^vbz+bez+aux++=is
simply ^rb++splt++=simply
met ^vpsv++by+xvbnx+=met
by ^in++++=by
these ^dt+dem+++=these
birds ^nns++++=birds:
: ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
ranges ^vbz++++=ranges
do ^vb+do+aux++=do
overlap ^vb++++=overlap
largely ^rb++++=largely
and ^cc+phrs+++=and
nearly ^rb+down+++=nearly
completely ^rb+amp+++=completely
though ^cs+sub+++=though
the ^ati++++=the
birds ^nns++++=birds
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
described ^vpsv++agls+xvbnx+=described
in ^in++++=in
two ^cd++++=two
geographic ^jj+atrb+++=geographic
distributions ^nns+nom+++=distributions:
: ^zz++++=EXTRAWORD
the ^ati++++=the
West ^np+pl+++=West
African ^jj+atrb+++=African
indigos ^nns+++??+=indigos
( ^zz++++=(seven
seven ^cd++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Southern ^jj+atrb+++=Southern
African ^jj+atrb+++=African
indigos ^nns+++??+=indigos
( ^zz++++=(four
four ^cd++++=EXTRAWORD
species ^nn++++=species,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
chalybeata ^nn+++??+=chalybeata
is ^vbz+bez+aux++=is
present ^vb++++=present
in ^in++++=in
both ^abx++++=both
populations ^nns+nom+++=populations).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Comprehensive ^jj+atrb+++=Comprehensive
field ^nn++++=field
descriptions ^nns+nom+++=descriptions
of ^in++++=of
the ^ati++++=the
species ^nn++++=species
distributions ^nns+nom+++=distributions
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++by+xvbnx+=done
by ^in++++=by
Payne ^np++++=Payne.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
interest ^nn++++=interest
is ^vbz+bez+vrb++=is
Payne ^np++++=Payne's
's ^$++++=EXTRAWORD
1982 ^cd+date+++=1982
publication ^nn+nom+++=publication;
; ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
case ^nn++++=case,
, ^zz++++=EXTRAWORD
Payne ^np++++=Payne
described ^vbd+++xvbn+=described,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
things ^nns++++=things,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ranges ^nns++++=ranges
of ^in++++=of
five ^cd++++=five
species ^nn++++=species
of ^in++++=of
Vidua ^np+++??+=Vidua
and ^cc++++=and
their ^pp$+pp3+++=their
hosts ^nns++++=hosts'
' ^zz++++=EXTRAWORD
ranges ^nns++++=ranges.
. ^zz++++=EXTRAWORD
All ^abn++++=All
species ^nns++++=species
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
sympatric ^jj+pred+++=sympatric
in ^in++++=in
the ^ati++++=the
range ^nn++++=range
studied ^vbd+++xvbn+=studied.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
data ^vbz++++=data
set ^vbd+++xvbn+=set
supports ^nns++++=supports
the ^ati++++=the
second ^od++++=second
tenet ^nn+++??+=tenet
of ^in++++=of
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
these ^dt+dem+++=these
species ^nn++++=species
do ^vb+do+aux++=do
parasitize ^vb++++=parasitize
specific ^jj+atrb+++=specific
hosts ^nns++++=hosts
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
occasionally ^rb+cnj+++=occasionally,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
make ^vb++++=make
mistakes ^nns++++=mistakes
( ^zz++++=(Sefc
sefc ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Payne ^np++++=Payne
Payne ^np++++=Payne
& ^zz++++=&
Sorenson ^np+++??+=Sorenson,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sorenson ^np+++??+=Sorenson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2004)
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
clearly ^rb++++=clearly
establishes ^vbz+vprv+++=establishes
the ^ati++++=the
host ^nn++++=host-parasite
- ^zz++++=EXTRAWORD
parasite ^nn++++=EXTRAWORD
relationship ^nn+nom+++=relationship
in ^in++++=in
a ^at++++=a
phylogenic ^jj+atrb+++=phylogenic
reconstruction ^nn+nom+++=reconstruction
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
appendix ^nn++++=appendix
figure ^nn++++=figure
2 ^zz++++=2);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
data ^vbz++++=data
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
some ^dti++++=some
Vidua ^np+++??+=Vidua
parasitize ^vb++++=parasitize
multiple ^jj+atrb+++=multiple
hosts ^nns++++=hosts
occasionally ^rb++++=occasionally
( ^zz++++=(dotted
dotted ^xvbn+++xvbn+=EXTRAWORD
lines ^nns++++=lines),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
others ^aps++++=others
are ^vb+ber+vrb++=are
very ^ap+amp+++=very
host ^nn++++=host-specific.
- ^zz++++=EXTRAWORD
specific ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
data ^vbz++++=data
illustrates ^nns+nom+++=illustrates
the ^ati++++=the
complexity ^nn+nom+++=complexity
of ^in++++=of
the ^ati++++=the
speciation ^nn+nom+++=speciation
events ^nns++++=events
occurring ^vwbg+++xvbg+=occurring:
: ^zz++++=EXTRAWORD
the ^ati++++=the
Vidua ^np+++??+=Vidua
do ^vb+do+vrb++=do
not ^xnot++not++=not
simply ^rb++++=simply
mirror ^vb++++=mirror
the ^ati++++=the
speciation ^nn+nom+++=speciation
events ^nns++++=events
of ^in++++=of
their ^pp$+pp3+++=their
hosts ^nns++++=hosts
they ^pp3a+pp3+++=they
radiated ^vbd+++xvbnx+=radiated
much ^ap++++=much
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
unlike ^in++++=unlike
many ^ap++++=many
host ^nn++++=host-parasite
- ^zz++++=EXTRAWORD
parasite ^nn++++=EXTRAWORD
speciation ^nn+nom+++=speciation
relationships ^nns+nom+++=relationships,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
geographic ^jj+atrb+++=geographic
separation ^nn+nom+++=separation
of ^in++++=of
host ^nn++++=host
populations ^nns+nom+++=populations
caused ^vbd+++xvbn+=caused
a ^at++++=a
speciation ^nn+nom+++=speciation
event ^nn++++=event
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
host ^nn++++=host
and ^cc++++=and
parasite ^nn++++=parasite
populations ^nns+nom+++=populations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
third ^od++++=third
tenet ^vb+++??+=tenet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
challenging ^jj+++xvbg+=challenging
to ^to++++=to
meet ^vbi++++=meet,
, ^zz++++=EXTRAWORD
states ^nns++++=states
that ^tht+rel+obj++=that
the ^ati++++=the
parasites ^nns++++=parasites
must ^md+nec+++=must
be ^vb+be+vrb++=be
sister ^nn++++=sister
taxa ^nn+++??+=taxa
implying ^vwbg+++xvbg+=implying
the ^ati++++=the
necessity ^nn+nom+++=necessity
of ^in++++=of
clear ^jj+atrb+++=clear
phylogenic ^jj+atrb+++=phylogenic
relationships ^nns+nom+++=relationships.
. ^zz++++=EXTRAWORD
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr
caution ^nn+nom+++=caution
that ^tht+rel+obj++=that
a ^at++++=a
genetically ^rb++++=genetically
based ^xvbn+++xvbn+=based
phylogeny ^nn+++??+=phylogeny
may ^md+pos+++=may
show ^vb+vprv+++=show
inaccurate ^jj+atrb+++=inaccurate
relationships ^nns+nom+++=relationships
and ^cc++++=and
divergence ^nn+nom+++=divergence
rates ^nns++++=rates
since ^cs+sub+++=since
interspecific ^jj+atrb+++=interspecific
hybridization ^nn+nom+++=hybridization
probably ^rb++++=probably
occurs ^vbz++++=occurs,
, ^zz++++=EXTRAWORD
tainting ^jj+++xvbg+=tainting
the ^ati++++=the
gene ^np++++=gene
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
Exhaustive ^jj+atrb+++=Exhaustive
phylogenetic ^jj+atrb+++=phylogenetic
work ^nn++++=work,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
( ^zz++++=(mostly
mostly ^rb++++=EXTRAWORD
mtdna ^nn+++??+=mtDNA)
) ^zz++++=EXTRAWORD
supports ^vbz++++=supports
a ^at++++=a
sister ^nn++++=sister
taxa ^nn+++??+=taxa
relationship ^nn+nom+++=relationship
( ^zz++++=(Sorenson
sorenson ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Sorenson ^np+++??+=Sorenson
& ^zz++++=&
Payne ^np++++=Payne,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
of ^in++++=of
Sorenson ^np+++??+=Sorenson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
presents ^vbz++++=presents
the ^ati++++=the
clearest ^jjt+atrb+++=clearest
image ^nn++++=image
of ^in++++=of
these ^dt+dem+++=these
relationships ^nns+nom+++=relationships;
; ^zz++++=EXTRAWORD
summarized ^xvbn+++xvbn+=summarized
in ^in++++=in
figure ^nn++++=figure
3 ^zz++++=3
of ^in++++=of
the ^ati++++=the
appendix ^nn++++=appendix,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
phylogeny ^nn+++??+=phylogeny
of ^in++++=of
both ^abx++++=both
Viduidae ^np+++??+=Viduidae
and ^cc++++=and
Estrildidae ^np+++??+=Estrildidae.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
this ^dt+dem+++=this
work ^nn++++=work
is ^vbz+bez+vrb++=is
genetic ^jj+pred+++=genetic
in ^in++++=in
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
theoretically ^rb++++=theoretically
mathematical ^jj+atrb+++=mathematical
models ^nns++++=models
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Sefc ^np+++??+=Sefc
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2005 ^cd++++=2005)
) ^zz++++=EXTRAWORD
on ^in++++=on
these ^dt+dem+++=these
particular ^jj+atrb+++=particular
relationships ^nns+nom+++=relationships
demonstrate ^nn+nom+++=demonstrate
its ^pp$+it+++=its
validity ^nn+nom+++=validity.
. ^zz++++=EXTRAWORD
Sefc ^np+++??+=Sefc
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
argues ^vbz+vpub+tht0++=argues
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
hybridization ^nn+nom+++=hybridization
does ^vbz+doz+aux++=does
occur ^vb++++=occur,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
often ^rb++++=often
enough ^qlp++++=enough
to ^in++++=to
significantly ^rb++++=significantly
skew ^jj++++=skew
the ^ati++++=the
data ^nns++++=data
sets ^nns++++=sets.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
established ^vbd+vprv++xvbn+=established
that ^tht+vcmp+++=that
the ^ati++++=the
indigobirds ^nns+++??+=indigobirds
meet ^vb++++=meet
the ^ati++++=the
fourth ^od++++=fourth
criterion ^nn++++=criterion:
: ^zz++++=EXTRAWORD
reproductive ^jj+atrb+++=reproductive
isolation ^nn+nom+++=isolation.
. ^zz++++=EXTRAWORD
Sefc ^np+++??+=Sefc
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
species ^nn++++=species
are ^vb+ber+vrb++=are
distinct ^jj+pred+++=distinct
and ^cc++++=and
genetically ^rb++++=genetically
isolated ^jj+++xvbn+=isolated;
; ^zz++++=EXTRAWORD
importantly ^rb+cnj+++=importantly,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
not ^xnot++not++=not
genetically ^rb++++=genetically
based ^vbd+++xvbn+=based
isolation ^nn+nom+++=isolation
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
learned ^vpsv++agls+xvbnx+=learned.
. ^zz++++=EXTRAWORD
Further ^jjb++++=Further
direct ^jj+atrb+++=direct
observational ^jj+atrb+++=observational
data ^nns++++=data
of ^in++++=of
hybridization ^nn+nom+++=hybridization
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
Payne ^np++++=Payne
& ^zz++++=&
Sorenson ^np+++??+=Sorenson
( ^zz++++=(2004);
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
here ^rn+pl+++=here
the ^ati++++=the
authors ^nns++++=authors
observed ^vbd+++xvbn+=observed
hybridization ^nn+nom+++=hybridization
between ^in++++=between
V ^zz++++=V.
. ^zz++++=EXTRAWORD
paradisaea ^nn+++??+=paradisaea
and ^cc++++=and
V ^zz++++=V.
. ^zz++++=EXTRAWORD
chalybeata ^nn+++??+=chalybeata
this ^dt+dem+++=this
hybridization ^nn+nom+++=hybridization
was ^vbd+bedz+aux++=was
established ^vpsv++by+xvbnx+=established
by ^in++++=by
genetic ^jj+atrb+++=genetic
tests ^nns++++=tests
( ^zz++++=(mtDNA).
mtdna ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Vidua ^np+++??+=Vidua
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
conform ^vbi++++=conform
to ^in++++=to
the ^ati++++=the
first ^rb++++=first
four ^cd++++=four
tenets ^nns++++=tenets
of ^in++++=of
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr.
. ^zz++++=EXTRAWORD
Clearly ^rb+cnj+++=Clearly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fifth ^od++++=fifth
criterion ^np++++=criterion
of ^in++++=of
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
well ^jj+pred+++=well
established ^vbd+vprv++xvbn+=established:
: ^zz++++=EXTRAWORD
assortative ^jj+atrb+++=assortative
mating ^nn++++=mating
does ^vbz+doz+aux++=does
occur ^vb++++=occur.
. ^zz++++=EXTRAWORD
Undeniably ^rb+cnj+++=Undeniably,
, ^zz++++=EXTRAWORD
Payne ^np++++=Payne
and ^cc++++=and
Sorenson ^np+++??+=Sorenson
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
countless ^jj+atrb+++=countless
times ^nns++++=times
that ^tht+rel+obj++=that
the ^ati++++=the
indigos ^nns+++??+=indigos
preferentially ^rb++++=preferentially
choose ^vb++++=choose
conspecifics ^nns++++=conspecifics
based ^vwbn+++xvbn+=based
on ^in++++=on
a ^at++++=a
learned ^nn++++=learned
call ^vb++++=call.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
evidence ^nn+nom+++=evidence
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
presented ^vpsv++agls+xvbnx+=presented
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+aux++=be
repeated ^vpsv++agls+xvbnx+=repeated.
. ^zz++++=EXTRAWORD
Allowing ^jj+++xvbg+=Allowing
us ^pp1o+pp1+++=us
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
to ^in++++=to
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
six ^cd++++=six
and ^cc++++=and
seventh ^nn++++=seventh
criteria ^nns++++=criteria;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
best ^jjt+pred+++=best
to ^to+jcmp+++=to
take ^vbi++++=take
these ^dt+dem+++=these
two ^cd++++=two
in ^in++++=in
tandem ^nn+++??+=tandem,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
represent ^vb++++=represent
very ^ql+amp+++=very
similar ^jj+atrb+++=similar
principles ^nns++++=principles.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
explained ^vbd+vpub++xvbn+=explained
above ^jjb++++=above
the ^ati++++=the
indigobird ^nn+++??+=indigobird's
's ^vbz+bez+vrb++0=EXTRAWORD
young ^jj++++=young
have ^vb+hv+aux++=have
developed ^vprf+++xvbnx+=developed
specific ^jj+atrb+++=specific
mouth ^nn++++=mouth
markings ^nns++++=markings
to ^to++++=to
deceive ^vbi++++=deceive
host ^nn++++=host
parents ^nns++++=parents;
; ^zz++++=EXTRAWORD
these ^dt+dem+++=these
markings ^nns++++=markings
represent ^vb++++=represent
both ^abx++++=both
a ^at++++=a
genetic ^jj+atrb+++=genetic
adaptation ^nn+nom+++=adaptation
to ^in++++=to
a ^at++++=a
specific ^jj+atrb+++=specific
host ^nn++++=host
and ^cc++++=and
a ^at++++=a
means ^nn++++=means
by ^in++++=by
which ^whp+rel+pied++=which
fitness ^nns+nom+++=fitness
is ^vbz+bez+aux++=is
increased ^vpsv++agls+xvbnx+=increased
with ^in++++=with
the ^ati++++=the
normative ^jj+atrb+++=normative
host ^nn++++=host
( ^zz++++=(Payne
payne ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Essentially ^rb+cnj+++=Essentially,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
evidence ^nn+nom+++=evidence
is ^vbz+bez+aux++=is
used ^vpsv++++=used
to ^to++++=to
forward ^rb++++=forward
a ^at++++=a
true ^jj+atrb+++=true
species ^nn++++=species
distinction ^nn+nom+++=distinction
in ^in+cmpx+++=in
the ^in"++++=the
face ^in"++++=face
of ^in"++++=of
introgression ^nn+++??+=introgression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
demonstrates ^nns+nom+++=demonstrates
that ^tht+vcmp+++=that
each ^ppls++++=each
species ^nns++++=species
has ^vbz+hvz+aux++=has
adapted ^vprf+++xvbnx+=adapted
to ^in++++=to
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
host ^nn++++=host.
. ^zz++++=EXTRAWORD
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
a ^at++++=a
species ^nn++++=species
definition ^nn+nom+++=definition
based ^vwbn+++xvbn+=based
solely ^rb++++=solely
on ^in++++=on
a ^at++++=a
cultural ^jj+atrb+++=cultural
trait ^nn++++=trait,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
meaningless ^jj+pred+++=meaningless
( ^zz++++=(2004:221-222).
2004:221 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
222 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
these ^dt+dem+++=these
markings ^nns++++=markings
establish ^vb+vprv+++=establish
differences ^nns+nom+++=differences
outside ^in+cmpx+++=outside
of ^in"++++=of
simple ^jj+atrb+++=simple
maternal ^jj+atrb+++=maternal
mitochondrial ^jj+atrb+++=mitochondrial
lineages ^nns+nom+++=lineages,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
safe ^jj+pred+++=safe
to ^to+jcmp+++=to
conclude ^vbi+vprv+++=conclude
a ^at++++=a
true ^jj+atrb+++=true
species ^nn++++=species
distinction ^nn+nom+++=distinction.
. ^zz++++=EXTRAWORD
Outside ^in+cmpx+++=Outside
of ^in"++++=of
the ^ati++++=the
descriptive ^jj+atrb+++=descriptive
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
demonstrate ^nn+nom+++=demonstrate
these ^dt+dem+++=these
differences ^nns+nom+++=differences
( ^zz++++=(Payne,
payne ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1982 ^cd+date+++=1982),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Payne ^np++++=Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2001)
2001 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
done ^vprf+++xvbnx+=done
cross ^jj++++=cross-foster
- ^zz++++=EXTRAWORD
foster ^jjb+atrb+++=EXTRAWORD
experiments ^nns+nom+++=experiments
indicating ^vwbg+vprv++xvbg+=indicating
a ^at++++=a
fitness ^nns+nom+++=fitness
advantage ^nn+nom+++=advantage
to ^in++++=to
the ^ati++++=the
normative ^jj+atrb+++=normative
host ^nn++++=host
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
mouth ^nn++++=mouth
markings ^nns++++=markings.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
study ^nn++++=study
focused ^vbd+++xvbn+=focused
mainly ^rb++++=mainly
upon ^in++++=upon
V ^zz++++=V.
. ^zz++++=EXTRAWORD
chalybeata ^nn+++??+=chalybeata,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
interestingly ^rb++++=interestingly
showed ^vbd+vprv+tht0+xvbn+=showed
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
fitness ^nns+nom+++=fitness
advantages ^nns+nom+++=advantages
are ^vb+ber+aux++=are
present ^vb++++=present
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
not ^xnot++not++=not
great ^np++++=great
enough ^qlp++++=enough
to ^to++++=to
prevent ^vbi++++=prevent
colonization ^nn+nom+++=colonization
of ^in++++=of
new ^jj+atrb+++=new
hosts ^nns++++=hosts.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
indigobirds ^nns+++??+=indigobirds
exist ^vb++++=exist
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
narrow ^vb++++=narrow
adaptive ^jj+atrb+++=adaptive
peak ^nn++++=peak,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
colonization ^nn+nom+++=colonization
advantages ^nns+nom+++=advantages
are ^vb+ber+vrb++=are
only ^rb+down+++=only
partially ^rb+down+++=partially
restrained ^vpsv++by+xvbn+=restrained
by ^in++++=by
host ^nn++++=host
specificity ^nn+nom+++=specificity.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
new ^jj+atrb+++=new
niche ^nn++++=niche
is ^vbz+bez+aux++=is
realized ^vpsv++agls+xvbnx+=realized,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
best ^jjt+pred+++=best
to ^to+jcmp+++=to
evolve ^vbi++++=evolve
host ^nn++++=host-distinct
- ^zz++++=EXTRAWORD
distinct ^jj+atrb+++=EXTRAWORD
features ^nns++++=features,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
peculiarity ^nn+nom+++=peculiarity
conveys ^vbz++++=conveys
fitness ^nns+nom+++=fitness
advantages ^nns+nom+++=advantages.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
left ^vpsv++agls+xvbnx+=left
with ^in++++=with
the ^ati++++=the
